912 READ diskstatus 00000001
916 READ diskstatus 00000001
920 READ diskstatus 00000001
924 READ diskstatus 00000001
928 READ diskstatus 00000001
932 READ diskstatus 00000001
936 READ diskstatus 00000001
940 READ diskstatus 00000001
944 READ diskstatus 00000001
948 READ diskstatus 00000001
952 READ diskstatus 00000001
956 READ diskstatus 00000001
960 READ diskstatus 00000001
964 READ diskstatus 00000001
968 READ diskstatus 00000001
972 READ diskstatus 00000001
976 READ diskstatus 00000001
980 READ diskstatus 00000001
984 READ diskstatus 00000001
988 READ diskstatus 00000001
992 READ diskstatus 00000001
996 READ diskstatus 00000001
1000 READ diskstatus 00000001
1004 READ diskstatus 00000001
1008 READ diskstatus 00000001
1012 READ diskstatus 00000001
1016 READ diskstatus 00000001
1020 READ diskstatus 00000001
1024 READ diskstatus 00000001
1028 READ diskstatus 00000001
1032 READ diskstatus 00000001
1036 READ diskstatus 00000001
1040 READ diskstatus 00000001
1107 READ diskstatus 00000000
1113 WRITE diskbuffer 00000280
1115 WRITE disksector 00000001
1117 WRITE diskcmd 00000001
1119 READ diskstatus 00000001
1123 READ diskstatus 00000001
1127 READ diskstatus 00000001
1131 READ diskstatus 00000001
1135 READ diskstatus 00000001
1139 READ diskstatus 00000001
1143 READ diskstatus 00000001
1147 READ diskstatus 00000001
1151 READ diskstatus 00000001
1155 READ diskstatus 00000001
1159 READ diskstatus 00000001
1163 READ diskstatus 00000001
1167 READ diskstatus 00000001
1171 READ diskstatus 00000001
1175 READ diskstatus 00000001
1179 READ diskstatus 00000001
1183 READ diskstatus 00000001
1187 READ diskstatus 00000001
1191 READ diskstatus 00000001
1195 READ diskstatus 00000001
1199 READ diskstatus 00000001
1203 READ diskstatus 00000001
1207 READ diskstatus 00000001
1211 READ diskstatus 00000001
1215 READ diskstatus 00000001
1219 READ diskstatus 00000001
1223 READ diskstatus 00000001
1227 READ diskstatus 00000001
1231 READ diskstatus 00000001
1235 READ diskstatus 00000001
1239 READ diskstatus 00000001
1243 READ diskstatus 00000001
1247 READ diskstatus 00000001
1251 READ diskstatus 00000001
1255 READ diskstatus 00000001
1259 READ diskstatus 00000001
1263 READ diskstatus 00000001
1267 READ diskstatus 00000001
1271 READ diskstatus 00000001
1275 READ diskstatus 00000001
1279 READ diskstatus 00000001
1283 READ diskstatus 00000001
1287 READ diskstatus 00000001
1291 READ diskstatus 00000001
1295 READ diskstatus 00000001
1299 READ diskstatus 00000001
1303 READ diskstatus 00000001
1307 READ diskstatus 00000001
1311 READ diskstatus 00000001
1315 READ diskstatus 00000001
1319 READ diskstatus 00000001
1323 READ diskstatus 00000001
1327 READ diskstatus 00000001
1331 READ diskstatus 00000001
1335 READ diskstatus 00000001
1339 READ diskstatus 00000001
1343 READ diskstatus 00000001
1347 READ diskstatus 00000001
1351 READ diskstatus 00000001
1355 READ diskstatus 00000001
1359 READ diskstatus 00000001
1363 READ diskstatus 00000001
1367 READ diskstatus 00000001
1371 READ diskstatus 00000001
1375 READ diskstatus 00000001
1379 READ diskstatus 00000001
1383 READ diskstatus 00000001
1387 READ diskstatus 00000001
1391 READ diskstatus 00000001
1395 READ diskstatus 00000001
1399 READ diskstatus 00000001
1403 READ diskstatus 00000001
1407 READ diskstatus 00000001
1411 READ diskstatus 00000001
1415 READ diskstatus 00000001
1419 READ diskstatus 00000001
1423 READ diskstatus 00000001
1427 READ diskstatus 00000001
1431 READ diskstatus 00000001
1435 READ diskstatus 00000001
1439 READ diskstatus 00000001
1443 READ diskstatus 00000001
1447 READ diskstatus 00000001
1451 READ diskstatus 00000001
1455 READ diskstatus 00000001
1459 READ diskstatus 00000001
1463 READ diskstatus 00000001
1467 READ diskstatus 00000001
1471 READ diskstatus 00000001
1475 READ diskstatus 00000001
1479 READ diskstatus 00000001
1483 READ diskstatus 00000001
1487 READ diskstatus 00000001
1491 READ diskstatus 00000001
1495 READ diskstatus 00000001
1499 READ diskstatus 00000001
1503 READ diskstatus 00000001
1507 READ diskstatus 00000001
1511 READ diskstatus 00000001
1515 READ diskstatus 00000001
1519 READ diskstatus 00000001
1523 READ diskstatus 00000001
1527 READ diskstatus 00000001
1531 READ diskstatus 00000001
1535 READ diskstatus 00000001
1539 READ diskstatus 00000001
1543 READ diskstatus 00000001
1547 READ diskstatus 00000001
1551 READ diskstatus 00000001
1555 READ diskstatus 00000001
1559 READ diskstatus 00000001
1563 READ diskstatus 00000001
1567 READ diskstatus 00000001
1571 READ diskstatus 00000001
1575 READ diskstatus 00000001
1579 READ diskstatus 00000001
1583 READ diskstatus 00000001
1587 READ diskstatus 00000001
1591 READ diskstatus 00000001
1595 READ diskstatus 00000001
1599 READ diskstatus 00000001
1603 READ diskstatus 00000001
1607 READ diskstatus 00000001
1611 READ diskstatus 00000001
1615 READ diskstatus 00000001
1619 READ diskstatus 00000001
1623 READ diskstatus 00000001
1627 READ diskstatus 00000001
1631 READ diskstatus 00000001
1635 READ diskstatus 00000001
1639 READ diskstatus 00000001
1643 READ diskstatus 00000001
1647 READ diskstatus 00000001
1651 READ diskstatus 00000001
1655 READ diskstatus 00000001
1659 READ diskstatus 00000001
1663 READ diskstatus 00000001
1667 READ diskstatus 00000001
1671 READ diskstatus 00000001
1675 READ diskstatus 00000001
1679 READ diskstatus 00000001
1683 READ diskstatus 00000001
1687 READ diskstatus 00000001
1691 READ diskstatus 00000001
1695 READ diskstatus 00000001
1699 READ diskstatus 00000001
1703 READ diskstatus 00000001
1707 READ diskstatus 00000001
1711 READ diskstatus 00000001
1715 READ diskstatus 00000001
1719 READ diskstatus 00000001
1723 READ diskstatus 00000001
1727 READ diskstatus 00000001
1731 READ diskstatus 00000001
1735 READ diskstatus 00000001
1739 READ diskstatus 00000001
1743 READ diskstatus 00000001
1747 READ diskstatus 00000001
1751 READ diskstatus 00000001
1755 READ diskstatus 00000001
1759 READ diskstatus 00000001
1763 READ diskstatus 00000001
1767 READ diskstatus 00000001
1771 READ diskstatus 00000001
1775 READ diskstatus 00000001
1779 READ diskstatus 00000001
1783 READ diskstatus 00000001
1787 READ diskstatus 00000001
1791 READ diskstatus 00000001
1795 READ diskstatus 00000001
1799 READ diskstatus 00000001
1803 READ diskstatus 00000001
1807 READ diskstatus 00000001
1811 READ diskstatus 00000001
1815 READ diskstatus 00000001
1819 READ diskstatus 00000001
1823 READ diskstatus 00000001
1827 READ diskstatus 00000001
1831 READ diskstatus 00000001
1835 READ diskstatus 00000001
1839 READ diskstatus 00000001
1843 READ diskstatus 00000001
1847 READ diskstatus 00000001
1851 READ diskstatus 00000001
1855 READ diskstatus 00000001
1859 READ diskstatus 00000001
1863 READ diskstatus 00000001
1867 READ diskstatus 00000001
1871 READ diskstatus 00000001
1875 READ diskstatus 00000001
1879 READ diskstatus 00000001
1883 READ diskstatus 00000001
1887 READ diskstatus 00000001
1891 READ diskstatus 00000001
1895 READ diskstatus 00000001
1899 READ diskstatus 00000001
1903 READ diskstatus 00000001
1907 READ diskstatus 00000001
1911 READ diskstatus 00000001
1915 READ diskstatus 00000001
1919 READ diskstatus 00000001
1923 READ diskstatus 00000001
1927 READ diskstatus 00000001
1931 READ diskstatus 00000001
1935 READ diskstatus 00000001
1939 READ diskstatus 00000001
1943 READ diskstatus 00000001
1947 READ diskstatus 00000001
1951 READ diskstatus 00000001
1955 READ diskstatus 00000001
1959 READ diskstatus 00000001
1963 READ diskstatus 00000001
1967 READ diskstatus 00000001
1971 READ diskstatus 00000001
1975 READ diskstatus 00000001
1979 READ diskstatus 00000001
1983 READ diskstatus 00000001
1987 READ diskstatus 00000001
1991 READ diskstatus 00000001
1995 READ diskstatus 00000001
1999 READ diskstatus 00000001
2003 READ diskstatus 00000001
2007 READ diskstatus 00000001
2011 READ diskstatus 00000001
2015 READ diskstatus 00000001
2019 READ diskstatus 00000001
2023 READ diskstatus 00000001
2027 READ diskstatus 00000001
2031 READ diskstatus 00000001
2035 READ diskstatus 00000001
2039 READ diskstatus 00000001
2043 READ diskstatus 00000001
2047 READ diskstatus 00000001
2051 READ diskstatus 00000001
2055 READ diskstatus 00000001
2059 READ diskstatus 00000001
2063 READ diskstatus 00000001
2067 READ diskstatus 00000001
2071 READ diskstatus 00000001
2075 READ diskstatus 00000001
2079 READ diskstatus 00000001
2083 READ diskstatus 00000001
2087 READ diskstatus 00000001
2091 READ diskstatus 00000001
2095 READ diskstatus 00000001
2099 READ diskstatus 00000001
2103 READ diskstatus 00000001
2107 READ diskstatus 00000001
2111 READ diskstatus 00000001
2115 READ diskstatus 00000001
2119 READ diskstatus 00000001
2123 READ diskstatus 00000001
2127 READ diskstatus 00000001
2131 READ diskstatus 00000001
2135 READ diskstatus 00000001
2139 READ diskstatus 00000001
2206 READ diskstatus 00000000
